"","pathway","description","genes_in_pathway","matches","%_match","pValue","adj.pValue","overlap"
"aberrant exocytosis","aberrant exocytosis","""aberrant exocytosis""","1","0","0","1","1",""
"aberrant filopodium formation","aberrant filopodium formation","""aberrant filopodium formation""","6","0","0","1","1",""
"aberrant glycogen metabolism","aberrant glycogen metabolism","""aberrant glycogen metabolism""","1","0","0","1","1",""
"aberrant inositol phosphate metabolic process","aberrant inositol phosphate metabolic process","""aberrant inositol phosphate metabolic process""","4","0","0","1","1",""
"aberrant intermediate filament bundle assembly","aberrant intermediate filament bundle assembly","""aberrant intermediate filament bundle assembly""","0","0","NaN","1","1",""
"aberrant intermediate filament organization","aberrant intermediate filament organization","""aberrant intermediate filament organization""","0","0","NaN","1","1",""
"aberrant intracellular distribution of mitochondria","aberrant intracellular distribution of mitochondria","""aberrant intracellular distribution of mitochondria""","2","0","0","1","1",""
"aberrant lipid droplet formation","aberrant lipid droplet formation","""aberrant lipid droplet formation""","0","0","NaN","1","1",""
"aberrant lipid storage","aberrant lipid storage","""aberrant lipid storage""","1","0","0","1","1",""
"aberrant localization to coated pits","aberrant localization to coated pits","""aberrant localization to coated pits""","1","0","0","1","1",""
"aberrant localization","aberrant localization","""aberrant localization""","2","0","0","1","1",""
"aberrant lysosome organization","aberrant lysosome organization","""aberrant lysosome organization""","2","0","0","1","1",""
"aberrant macroautophagy","aberrant macroautophagy","""aberrant macroautophagy""","4","0","0","1","1",""
"aberrant macrocyst formation","aberrant macrocyst formation","""aberrant macrocyst formation""","3","0","0","1","1",""
"aberrant macromolecule biosynthesis","aberrant macromolecule biosynthesis","""aberrant macromolecule biosynthesis""","1","0","0","1","1",""
"aberrant macropinocytosis","aberrant macropinocytosis","""aberrant macropinocytosis""","11","0","0","1","1",""
"aberrant microtubule cytoskeleton organization","aberrant microtubule cytoskeleton organization","""aberrant microtubule cytoskeleton organization""","5","0","0","1","1",""
"aberrant mitochondrion morphology","aberrant mitochondrion morphology","""aberrant mitochondrion morphology""","5","0","0","1","1",""
"aberrant mitochondrion organization","aberrant mitochondrion organization","""aberrant mitochondrion organization""","3","0","0","1","1",""
"aberrant mitosis","aberrant mitosis","""aberrant mitosis""","3","0","0","1","1",""
"aberrant mitotic anaphase","aberrant mitotic anaphase","""aberrant mitotic anaphase""","1","0","0","1","1",""
"aberrant mitotic sister chromatid segregation","aberrant mitotic sister chromatid segregation","""aberrant mitotic sister chromatid segregation""","2","0","0","1","1",""
"aberrant mitotic spindle elongation","aberrant mitotic spindle elongation","""aberrant mitotic spindle elongation""","1","0","0","1","1",""
"aberrant mitotic spindle organization","aberrant mitotic spindle organization","""aberrant mitotic spindle organization""","7","0","0","1","1",""
"aberrant molecular function","aberrant molecular function","""aberrant molecular function""","1","0","0","1","1",""
"aberrant mound color","aberrant mound color","""aberrant mound color""","2","0","0","1","1",""
"aberrant mound size","aberrant mound size","""aberrant mound size""","1","0","0","1","1",""
"aberrant myosin II filament organization","aberrant myosin II filament organization","""aberrant myosin II filament organization""","5","0","0","1","1",""
"aberrant negative chemotaxis","aberrant negative chemotaxis","""aberrant negative chemotaxis""","2","0","0","1","1",""
"aberrant nuclear envelope morphology","aberrant nuclear envelope morphology","""aberrant nuclear envelope morphology""","1","0","0","1","1",""
"aberrant nuclear membrane organization","aberrant nuclear membrane organization","""aberrant nuclear membrane organization""","1","0","0","1","1",""
"aberrant nucleus organization","aberrant nucleus organization","""aberrant nucleus organization""","1","0","0","1","1",""
"aberrant organelle organization","aberrant organelle organization","""aberrant organelle organization""","0","0","NaN","1","1",""
"aberrant phagocytosis","aberrant phagocytosis","""aberrant phagocytosis""","10","0","0","1","1",""
"aberrant phagolysosome formation","aberrant phagolysosome formation","""aberrant phagolysosome formation""","1","0","0","1","1",""
"aberrant phagosome maturation","aberrant phagosome maturation","""aberrant phagosome maturation""","16","0","0","1","1",""
"aberrant phosphatidylinositol metabolism","aberrant phosphatidylinositol metabolism","""aberrant phosphatidylinositol metabolism""","1","0","0","1","1",""
"aberrant phototaxis","aberrant phototaxis","""aberrant phototaxis""","14","0","0","1","1",""
"aberrant pinocytosis","aberrant pinocytosis","""aberrant pinocytosis""","1","0","0","1","1",""
"aberrant pinosome maturation","aberrant pinosome maturation","""aberrant pinosome maturation""","2","0","0","1","1",""
"aberrant plasma membrane organization","aberrant plasma membrane organization","""aberrant plasma membrane organization""","1","0","0","1","1",""
"aberrant pore formation during contractile vacuole discharge","aberrant pore formation during contractile vacuole discharge","""aberrant pore formation during contractile vacuole discharge""","1","0","0","1","1",""
"aberrant positive regulation of chemorepellant activity","aberrant positive regulation of chemorepellant activity","""aberrant positive regulation of chemorepellant activity""","5","0","0","1","1",""
"aberrant positive regulation of mitochondrial membrane potential","aberrant positive regulation of mitochondrial membrane potential","""aberrant positive regulation of mitochondrial membrane potential""","1","0","0","1","1",""
"aberrant post-lysosomal vacuole exocytosis","aberrant post-lysosomal vacuole exocytosis","""aberrant post-lysosomal vacuole exocytosis""","1","0","0","1","1",""
"aberrant prespore cell differentiation","aberrant prespore cell differentiation","""aberrant prespore cell differentiation""","4","0","0","1","1",""
"aberrant prestalk A cell differentiation","aberrant prestalk A cell differentiation","""aberrant prestalk A cell differentiation""","1","0","0","1","1",""
"aberrant prestalk B cell differentiation","aberrant prestalk B cell differentiation","""aberrant prestalk B cell differentiation""","1","0","0","1","1",""
"aberrant prestalk O cell differentiation","aberrant prestalk O cell differentiation","""aberrant prestalk O cell differentiation""","2","0","0","1","1",""
"aberrant prestalk cell differentiation","aberrant prestalk cell differentiation","""aberrant prestalk cell differentiation""","7","0","0","1","1",""
