"","pathway","description","genes_in_pathway","matches","%_match","pValue","adj.pValue","overlap"
"GO:0033036","GO:0033036","""macromolecule localization""","284","23","8.1","3.83311685546707e-05","0.00135808221611723","8616852,8617382,8617398,8618440,8618596,8620316,8620939,8620991,8621982,8624340,8624941,8624973,8625414,8625745,8625784,8626796,8626805,8626825,8627033,8627109,8627682,8628472,8629265"
"GO:0006412","GO:0006412","""translation""","175","17","9.71","4.4036738119283e-05","0.00154229817298224","8616928,8617226,8618220,8618472,8618670,8618956,8619731,8622192,8622690,8624247,8625991,8626140,8626305,8626539,8626719,8626812,8628289"
"GO:0022900","GO:0022900","""electron transport chain""","22","6","27.27","5.10041739550294e-05","0.00176601952319289","8617392,8620073,8621140,8621736,8623033,8624195"
"GO:0019693","GO:0019693","""ribose phosphate metabolic process""","68","10","14.71","5.61498892341482e-05","0.00192234508422977","8619300,8619591,8620524,8621025,8621204,8621459,8622529,8623694,8625973,8626225"
"GO:0006576","GO:0006576","""biogenic amine metabolic process""","8","4","50","6.67446006307301e-05","0.00225967553468705","8623776,8623972,8624069,8624472"
"GO:0044271","GO:0044271","""cellular nitrogen compound biosynthetic process""","464","31","6.68","7.33565024988159e-05","0.00245623366059222","8616111,8616928,8617226,8618220,8618472,8618670,8618956,8619731,8620524,8621204,8621459,8621982,8621994,8622192,8622690,8623253,8623776,8623972,8624247,8624472,8625431,8625973,8625991,8626140,8626305,8626539,8626719,8626812,8628289,8628309,8628843"
"GO:0006139","GO:0006139","""nucleobase-containing compound metabolic process""","647","39","6.03","7.82905348368844e-05","0.00259294847443464","8616111,8616928,8617007,8617455,8618472,8618670,8619300,8619591,8619731,8620524,8620756,8621025,8621067,8621204,8621318,8621459,8621598,8621982,8621994,8622192,8622529,8622781,8622806,8623277,8623303,8623598,8623694,8623776,8623890,8623972,8624472,8625614,8625973,8625991,8626140,8626225,8626539,8628191,8628843"
"GO:0016043","GO:0016043","""cellular component organization""","491","32","6.52","8.92523018379409e-05","0.00292421251290544","8615885,8615954,8616852,8617183,8617302,8617398,8617765,8617781,8619591,8620036,8620316,8620547,8620991,8621044,8621067,8621459,8621982,8623694,8624340,8624586,8624973,8625232,8625414,8625736,8625745,8625746,8626719,8626796,8627033,8627682,8628392,8628472"
"GO:0045184","GO:0045184","""establishment of protein localization""","204","18","8.82","9.34519076363075e-05","0.00302923364433861","8616852,8617382,8618440,8618596,8620316,8620939,8620991,8621982,8624340,8624941,8625414,8625745,8626796,8626805,8627033,8627109,8628472,8629265"
"GO:0006757","GO:0006757","""ATP generation from ADP""","16","5","31.25","0.000109204837572403","0.00346611604253241","8619300,8619591,8620524,8622529,8626225"
"GO:0006096","GO:0006096","""glycolytic process""","16","5","31.25","0.000109204837572403","0.00346611604253241","8619300,8619591,8620524,8622529,8626225"
"GO:0015031","GO:0015031","""protein transport""","190","17","8.95","0.000123833664766632","0.00388990903653533","8616852,8617382,8618440,8618596,8620316,8620939,8620991,8624340,8624941,8625414,8625745,8626796,8626805,8627033,8627109,8628472,8629265"
"GO:0042436","GO:0042436","""indole-containing compound catabolic process""","4","3","75","0.000129561217565868","0.00390864386062573","8623776,8623972,8624472"
"GO:0019805","GO:0019805","""quinolinate biosynthetic process""","4","3","75","0.000129561217565868","0.00390864386062573","8623776,8623972,8624472"
"GO:0046874","GO:0046874","""quinolinate metabolic process""","4","3","75","0.000129561217565868","0.00390864386062573","8623776,8623972,8624472"
"GO:0006569","GO:0006569","""tryptophan catabolic process""","4","3","75","0.000129561217565868","0.00390864386062573","8623776,8623972,8624472"
