ddb_g,AX4L846F_avr_00h,AX4L846F_avr_04h,AX4L846F_avr_08h,AX4L846F_avr_12h,AX4L846F_avr_16h,AX4L846F_avr_20h,B1.L846F_avr_00h,B1.L846F_avr_04h,B1.L846F_avr_08h,B1.L846F_avr_12h,B1.L846F_avr_16h,B1.L846F_avr_20h,
DDB_G0287427,1.063554132,0.345325107,0.412306829,1.076866614,2.928764459,4.079151252,1.180267112,1.169684377,1.069713028,1.369504793,3.686912961,6.109344312,
DDB_G0287429,0,0,0.406623232,7.763593989,4.197487876,1.784274514,0,0,0.113870766,1.515735922,4.745572035,1.136868509,
DDB_G0287431,0.210983587,0.869606371,0.371026351,0.72707639,0.955709628,0.452739422,0.187773412,1.176496582,0.665409107,0.393728371,0.679691777,0.166949682,
DDB_G0287433,0,0.429327376,0.061878715,0.753695725,0.165320938,0.29306182,0.080510692,0.344284819,0.312829486,0.050533638,0.326578103,0,
DDB_G0287437,0.621634629,0.975453806,0.746945313,0.467954141,0.971716254,1.654689936,0.36078841,0.653271091,0.749801622,0.347834991,0.738560186,1.206662202,
DDB_G0287439,16.3937599,9.737390801,10.41337632,6.431996527,5.582601712,6.564178988,20.64737983,9.814664524,8.599377023,9.337324178,5.745222212,3.57142063,
DDB_G0287441,8.529717538,6.926475924,7.880060043,9.989177344,7.71140933,7.647309833,11.88202203,7.823185508,8.949171331,8.011543656,9.646249703,9.42009298,
DDB_G0287445,16.79098367,23.10447945,20.8460522,23.42682424,17.00417779,11.9280635,22.46503219,26.66851099,26.2991391,28.89145295,22.63876901,16.5344907,
DDB_G0287447,3.116026532,2.236960115,2.107326136,2.098990637,1.975633938,1.975273571,3.020343297,2.955322506,1.884168011,2.175203927,2.119071745,2.394524534,
DDB_G0287449,9.399657389,8.242307968,5.157998926,4.701275957,3.896506958,2.529263273,9.79049953,9.714554161,6.478177863,5.298514495,4.359734462,3.001554966,
DDB_G0287451,0.065919393,0.359327791,1.295440125,0.447029504,0.20098573,0.189663035,0.057286454,0.059587804,0.68141284,0.86460637,0.05809322,0.597898647,
DDB_G0287453,0,0.100691867,0,0.045444078,0.041638358,0.031248667,0.069539441,0.092238625,0.033356458,0,0.022450596,0.034998473,
DDB_G0287455,0.044494811,0.076072283,0.061233347,0.092103517,0,0.064884155,0.128412245,0.03888053,0.051329007,0,0.080467088,0.026927872,
DDB_G0287457,2.957739797,4.601241076,8.918196002,15.39294982,11.45458208,9.11029919,2.93177503,4.061926124,6.184330781,9.991906002,11.27735641,9.461672367,
DDB_G0287459,23.82323568,66.85112424,122.5599266,217.0908959,228.9142826,274.4673979,23.31068389,53.34323703,71.82958468,185.9288573,179.6993889,209.7992274,
DDB_G0287461,10.43204189,17.72853769,11.89765708,18.08649637,22.11686649,20.05861679,127.6945767,48.88527298,55.56020932,35.43042355,47.99932469,42.64237808,
DDB_G0287463,0.159708716,0.391409203,8.324518193,5.454731995,4.367502293,4.78892077,0.185643587,0.274954763,5.384548477,7.526545508,5.891531271,6.401500506,
DDB_G0287465,6.670371465,3.545187322,13.00375025,13.59699481,7.924020833,10.84929075,7.987019539,2.608279611,8.537370548,12.89428691,12.3770882,8.952360818,
DDB_G0287467,197.8177823,196.4369562,141.0882269,101.5379751,80.90316139,67.86754328,156.3889395,183.8836991,165.2620949,136.9584989,109.4935615,85.43177226,
